鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
后里區,土地,四塊厝段451~480地號,1124.0,,特定農業區,農牧用地,1050713,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10116000,9000,,0.0,0,協議價購。,RPVPMLRLPHLFFAL17CA
后里區,土地,金城段301~330地號,773.5,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6961500,9000,,0.0,0,協議價購。,RPPQMLRLPHLFFAL66CA
后里區,土地,金城段301~330地號,46.5,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,418500,9000,,0.0,0,協議價購。,RPRQMLRLPHLFFAL86CA
后里區,土地,月眉段331~360地號,4093.0,,山坡地保育區,農牧用地,1050713,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50080000,12236,,0.0,0,協議價購。,RPWNMLRLPHLFFAL07CA
后里區,土地,月眉段331~360地號,18.0,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,171000,9500,,0.0,0,協議價購。,RPXNMLRLPHLFFAL17CA
后里區,土地,月眉段331~360地號,252.0,,山坡地保育區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3024000,12000,,0.0,0,協議價購。,RPOOMLRLPHLFFAL98CA
后里區,土地,四塊厝段331~360地號,984.0,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8856000,9000,,0.0,0,協議價購。,RPPOMLRLPHLFFAL09CA
后里區,土地,四塊厝段331~360地號,483.0,,特定農業區,農牧用地,1050713,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4347000,9000,,0.0,0,協議價購。,RPQOMLRLPHLFFAL56CA
后里區,土地,四塊厝段331~360地號,7.75,,特定農業區,農牧用地,1050713,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,69750,9000,,0.0,0,協議價購。,RPROMLRLPHLFFAL66CA
豐原區,房地(土地+建物),臺中市豐原區向陽路31~60號,4.27,商,,,1050630,土地1建物1車位0,十層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860602,44.58,1,0,1,有,有,1700000,38134,,0.0,0,,RPPNMLRLPHLFFAL98CA
神岡區,房地(土地+建物),臺中市神岡區神林路31~60號,93.37,住,,,1050507,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040525,193.8,5,1,5,有,無,13880000,71620,,0.0,0,,RPOOMLQLPHLFFAL88CA
西屯區,房地(土地+建物),臺中市西屯區西屯路三段151~180號,23.81,住,,,1050629,土地1建物1車位0,一層，二層，三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801211,203.97,3,2,4,有,有,11000000,53929,,0.0,0,,RPPOMLTKQHLFFCB48CA
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街1~30號,19.03,住,,,1050712,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041222,150.12,3,2,2,有,有,10680000,71143,坡道機械,0.0,0,,RPSOMLTKQHLFFCB78CA
南屯區,房地(土地+建物),臺中市南屯區大墩二街181~210號,12.61,住,,,1050529,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850426,74.22999999999999,2,2,1,有,有,4660000,62778,,0.0,0,,RPXOMLTKQHLFFCB66CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山三街31~60號,22.03,商,,,1050618,土地2建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040518,182.29000000000002,3,2,2,有,有,11200000,61441,坡道平面,31.47,0,,RPOOMLRKQHLFFCB18CA
南屯區,房地(土地+建物),臺中市南屯區新德街211~240號,92.64,農,,,1050622,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0940923,160.42,3,3,3,有,無,13300000,82907,,0.0,0,,RPPOMLRKQHLFFCB28CA
西屯區,房地(土地+建物),臺中市西屯區甘肅路一段206巷1~30號,34.39,住,,,1050608,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740202,92.38,3,2,2,有,無,4901456,53058,,0.0,0,總價含增值稅,RPOPMLPKQHLFFCB08CA
西屯區,房地(土地+建物),臺中市西屯區四川路87巷31~60號,5.85,住,,,1050702,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861121,42.42,1,1,1,有,有,2040000,48091,,0.0,0,,RPTNMLKKQHLFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路31~60號,43.23,商,,,1050416,土地1建物1車位3,二十五層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0980309,582.84,0,0,0,無,有,68000000,116670,坡道平面,49.65,0,,RPUNMLKKQHLFFCB97CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山三街121~150號,19.19,住,,,1050706,土地2建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010224,135.84,3,2,2,有,有,8352000,61484,坡道平面,23.5,0,,RPXNMLLKQHLFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區福聯街15巷1~30號,17.35,住,,,1050628,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,117.73,3,2,2,有,有,4725000,40134,坡道平面,0.0,0,,RPOPMLSJQHLFFCB28CA
西屯區,房地(土地+建物),臺中市西屯區文華路162巷1~30號,10.84,住,,,1050702,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970131,72.09,1,1,1,有,有,4900000,67971,,0.0,0,,RPXOMLPJQHLFFCB78CA
南屯區,房地(土地+建物)+車位,臺中市南屯區永春東路991~1020號,8.97,住,,,1050624,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960927,90.27000000000001,2,2,1,有,有,5780000,64030,坡道機械,13.2,0,,RPRPMLOJQHLFFCB18CA
南屯區,房地(土地+建物),臺中市南屯區大墩十二街121~150號,6.03,住,,,1050706,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800506,35.85,1,0,1,有,有,1800000,50209,,0.0,0,,RPQNMLTLPHLFFCB48CA
南屯區,房地(土地+建物),臺中市南屯區楓香街1~30號,132.07,住,,,1050630,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1030421,396.65,4,3,5,有,有,26180000,66003,,0.0,0,,RPROMLQLPHLFFCB38CA
南屯區,房地(土地+建物),臺中市南屯區東興路二段91~120號,8.34,住,,,1050706,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880407,81.46,3,2,1,有,有,5400000,66290,,0.0,0,,RPUQMLPLPHLFFCB78CA
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,27.95,其他,,,1050524,土地1建物1車位2,十三層,三十四層,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,517.38,0,0,0,無,有,52000000,100506,坡道平面,34.54,0,,RPQNMLRLPHLFFCB28CA
北區,房地(土地+建物),臺中市北區大仁街61~90號,76.0,住,,,1050526,土地1建物1車位0,全,二層,透天厝,商業用,鋼筋混凝土加強磚造,0600929,117.87,5,3,3,有,無,10800000,91626,,0.0,0,,RPVOMLSJQHLFFBB78CA
北區,房地(土地+建物),臺中市北區英士路91~120號,0.25,住,,,1050713,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830628,37.95,1,1,1,有,有,1380000,36364,,0.0,0,,RPVOMLTJQHLFFBB88CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段121~150號,38.13,住,,,1030110,土地1建物1車位2,十八層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050427,320.54999999999995,4,2,3,有,有,26750000,91377,坡道平面,56.26,2600000,,RPPOMLOJQHLFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路三段121~150號,38.13,住,,,1030322,土地1建物1車位2,十三層,二十一層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050427,320.54999999999995,4,2,3,有,有,28090000,95690,坡道平面,56.26,2800000,,RPQOMLOJQHLFFBB87CA
