鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
鳳山區,房地(土地+建物)+車位,高雄市鳳山區過埤里頂新五街31~60號,8.94,商,,,1050625,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050204,98.91999999999999,2,2,1,有,有,5070000,51254,坡道平面,0.0,0,,RPVPMLMKQHLFFGE56CA
鳳山區,房地(土地+建物),高雄市鳳山區過埤里頂新五街61~90號,6.7,商,,,1050627,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050204,82.38,2,2,1,有,有,4620000,56082,,0.0,0,,RPTPMLMKQHLFFGE98CA
仁武區,土地,北屋段1~30地號,263.68,其他,,,1050706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2243125,8507,,0.0,0,(包含)公共設施保留地之交易。,RPVOMLPLPHLFFIE96CA
仁武區,房地(土地+建物),高雄市仁武區永新五街137巷9弄1~30號,143.52,住,,,1050621,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1031127,306.95,5,2,4,有,無,15600000,50823,,0.0,0,本建築物含電梯設備,RPOPMLPLPHLFFIE98CA
鳥松區,房地(土地+建物),高雄市鳥松區育成一街61~90號,231.86,住,,,1050706,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1040206,467.43,7,2,7,有,無,32200000,68887,,0.0,0,,RPROMLSLPHLFFIE86CA
仁武區,土地,澄合段271~300地號,643.44,住,,,1050415,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44864658,69726,,0.0,0,,RPUNMLTLPHLFFIE17CA
仁武區,土地,草潭段1141~1170地號,1987.64,住,,,1050426,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,138290461,69575,,0.0,0,,RPWNMLTLPHLFFIE37CA
仁武區,房地(土地+建物),高雄市仁武區澄新十街1~30號,174.95,住,,,1050706,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1010529,401.75,5,2,6,有,無,36000000,89608,,0.0,0,,RPPOMLOJQHLFFIE78CA
鳥松區,房地(土地+建物)+車位,高雄市鳥松區明湖路61~90號,40.7,住,,,1050701,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850829,132.92,3,2,2,有,有,9500000,71472,坡道平面,0.0,0,,RPQNMLPJQHLFFIE88CA
仁武區,房地(土地+建物)+車位,高雄市仁武區京中四街72巷1~30號,36.09,住,,,1050701,土地2建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910307,149.85,3,2,2,有,有,4700000,31365,坡道平面,0.0,0,,SPSNMLKKQHLFFIE78CA
鳥松區,房地(土地+建物),高雄市鳥松區大同路4巷1~30號,1296.04,住,,,1050512,土地1建物1車位0,全,,透天厝,,,,59.55,0,0,0,無,無,62720000,1053233,,0.0,0,"本交易除交易總價外，買方另貼補賣方拆屋費新台幣526,700元整。",RPVOMLQKQHLFFIE07CA
仁武區,房地(土地+建物)+車位,高雄市仁武區大豐街151~180號,21.72,住,,,1050612,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031230,114.4,2,2,1,有,有,7700000,67308,坡道機械,17.61,0,含裝潢費268萬元正,RPQNMLLKQHLFFIE58CA
湖內區,房地(土地+建物),高雄市湖內區武功街61~90號,89.14,住,,,1050705,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0760510,95.98,3,2,1,有,無,3550000,36987,,0.0,0,,RPRNMLTKPHLFFJE86CA
路竹區,土地,聖母段901~930地號,191.51,住,,,1050530,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13360000,69761,,0.0,0,建地以每坪24萬元出售路地以公告現值出售,RPTNMLTKPHLFFJE07CA
路竹區,土地,順安段871~900地號,281.35,,鄉村區,乙種建築用地,1050705,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2716750,9656,,0.0,0,,RPVNMLTKPHLFFJE27CA
湖內區,土地,湖內段2011~2040地號,1739.0,農,,,1050701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,3738,,0.0,0,標購未辦繼承登記不動產，依標購金額登錄,RPWNMLTKPHLFFJE37CA
美濃區,房地(土地+建物),高雄市美濃區自強街一段135巷1~30號,237.16,住,,,1050619,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960910,188.14,6,3,3,有,有,10500000,55810,,0.0,0,,RPQNMLTKPHLFFKE86CA
桃源區,土地,寶山段121~150地號,1220.0,,山坡地保育區,農牧用地,1050715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,134200,110,,0.0,0,,RPPNMLKLPHLFFKE58CA
大寮區,土地,三隆段391~420地號,275.18,住,,,1050624,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,17443,,0.0,0,含未登記建物房價30000元。權利人共2人,RPXNMLTKPHLFFLE67CA
小港區,房地(土地+建物),高雄市小港區立群路1~30號,21.93,住,,,1050630,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830922,135.98,3,2,2,有,無,4000000,29416,,0.0,0,,RPVNMLPLPHLFFCE98DA
三民區,房地(土地+建物),高雄市三民區自強一路207巷31~60號,60.0,住,,,1050629,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0530507,71.71,3,2,2,有,無,3600000,50202,,0.0,0,,RPROMLRLPHLFFDE98DA
三民區,房地(土地+建物),高雄市三民區松江街33巷1~30號,10.42,商,,,1050624,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0730420,118.73,3,2,2,有,有,1800000,15160,,0.0,0,親友、員工或其他特殊關係間之交易(母子)。,RPSNMLSLPHLFFDE09DA
