鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,9860000,189215,,0,0,,RPSRMLSJQHLFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,九層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,9890000,189791,,0,0,,RPTRMLSJQHLFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,十層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10380000,199194,,0,0,,RPURMLSJQHLFFBA88CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,十二層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10410000,199770,,0,0,,RPVRMLSJQHLFFBA98CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,十四層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10440000,200345,,0,0,,RPWRMLSJQHLFFBA09CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,十五層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10020000,192286,,0,0,,RPXRMLSJQHLFFBA56CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,十六層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10020000,192286,,0,0,,RPOSMLSJQHLFFBA38CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,十九層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10530000,202073,,0,0,,RPPSMLSJQHLFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,二十層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10380000,199194,,0,0,,RPQSMLSJQHLFFBA58CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,二十二層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10190000,195548,,0,0,,RPRSMLSJQHLFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,二十三層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10220000,196124,,0,0,,RPSSMLSJQHLFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區康定路91~120號,3.53,商,,,1050516,土地1建物1車位0,二十五層,二十六層,套房(1房1廳1衛),住家用,見其他登記事項,1050331,52.1,1,1,1,有,無,10250000,196699,,0,0,,RPTSMLSJQHLFFBA88CA
